sequence_id	M301474.lib1	M301475.lib1	M301476.lib1	M301477.lib1	M301478.lib1	M301479.lib1	M301480.lib1	M301481.lib1	M301482.lib1	M301483.lib1	M301484.lib1	M301485.lib1	M301486.lib1	M301487.lib1	M301488.lib1	M301489.lib1	M301490.lib1	M301491.lib1	M301492.lib1	M301493.lib1	M301494.lib1	M301495.lib1	M301496.lib1	M301497.lib1	M301498.lib1	M301499.lib1	M301500.lib1	M301501.lib1	M301502.lib1	M301503.lib1	M301504.lib1	M301505.lib1	M301506.lib1	M301507.lib1	M301508.lib1	M301509.lib1	M301510.lib1	M301511.lib1	M301512.lib1	M301513.lib1	M301514.lib1	M301515.lib1	M301516.lib1	M301517.lib1	M301518.lib1	M301519.lib1	M301520.lib1	M301521.lib1	M301522.lib1	M301523.lib1	M301524.lib1	M301525.lib1	M301526.lib1	M301527.lib1	M301528.lib1	M301529.lib1	M301530.lib1	M301531.lib1	M301532.lib1	M301533.lib1	M301534.lib1	M301535.lib1	M301536.lib1	M301537.lib1	M301538.lib1	M301539.lib1	M301540.lib1	M301541.lib1	M301542.lib1	M301543.lib1	M301544.lib1	M301545.lib1	M301546.lib1	M301547.lib1	M301548.lib1	M301549.lib1	M301550.lib1	M301551.lib1	M301552.lib1	M301553.lib1	M301554.lib1	M301555.lib1	M301556.lib1	M301557.lib1	M301558.lib1	M301559.lib1	M301560.lib1	M301561.lib1	M301562.lib1	M301563.lib1	M301564.lib1	M301565.lib1	M301566.lib1	M301567.lib1	M301568.lib1	M301569.lib1
D300418:bin_000013	7107	0	5727	5817	5186	0	5000	3119	5426	1368	4940	4393	4108	2889	0	5448	3532	899	0	3794	3854	0	5300	2708	0	3531	221	0	0	4596	1600	3715	2266	0	0	2008	1611	0	0	1567	409	300	232	0	0	0	0	837	5560	5404	4377	0	6517	5659	4580	0	6102	6053	5925	395	0	5421	4066	6235	5552	0	3708	3074	2946	0	2697	6296	0	3866	2770	2880	0	3482	0	1324	1169	1175	1598	1186	0	0	1940	363	0	0	1999	300	802	750	0	0
D300429:bin_000001	105173	0	102465	93130	107410	0	96265	48580	93189	32401	99788	85905	91288	87020	979	99765	87361	49317	150	69242	69794	766	80417	71960	2425	55280	3094	23641	1380	57402	54197	68303	58828	3535	44075	68519	47484	2911	428	40243	22979	18894	10767	670	1889	9058	350	40426	98599	100805	99803	1499	116483	96035	96773	0	112014	117569	106928	2658	8036	104260	101156	104192	78992	0	67961	90301	72418	868	63228	120882	449	81816	72704	44576	1486	79562	0	63846	27729	45293	36102	24770	1135	847	36806	21259	12733	1577	49931	25475	33553	31504	371	15185
D300432:bin_000001	13826	0	13894	12745	14225	0	14584	12539	12903	6818	14618	12794	14101	12266	232	13733	13491	10834	262	11215	11803	117	13470	11796	1337	11640	277	4208	259	10432	10478	9821	10249	0	9079	11368	9411	874	0	8175	7645	3428	2462	0	709	1945	829	8001	13478	13527	16072	1546	14599	13765	15294	0	14727	14344	13024	712	1233	13382	14826	16612	12198	0	11971	13729	11577	241	11902	16165	150	11716	11314	10705	150	10912	0	11578	8627	9282	7461	7404	518	739	7613	5107	3327	0	9289	7393	8415	7132	326	5091
D300440:bin_000012	108154	553	106844	104198	110888	150	102801	90160	105868	63832	102299	98588	98970	90551	1313	98738	101699	73740	1776	81408	84639	936	96670	87497	6559	74312	3013	33479	4218	81676	71973	88052	83784	4828	69542	80187	70118	6141	1609	62266	49987	25237	15544	3794	9414	18900	5512	64009	102484	104233	112874	5465	119074	105911	107200	403	118645	110055	102386	9067	19103	98930	115643	114760	99071	423	87882	101025	92671	3052	82591	115939	1237	94153	90652	72680	3829	86400	979	78307	66966	69316	63302	59562	1812	4691	63984	40514	34540	4034	59167	56036	59267	53371	1759	36926
D300442:bin_000001	0	0	0	135	0	0	0	0	0	150	0	0	0	150	0	127	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	140	0	0	0	0	0	0	0	0	0	0	292	150	0	0	0	0	0	0	0	0	0
D300443:bin_000002	96127	0	65613	55313	96200	0	99154	44422	44167	9931	105415	71991	66811	55395	785	52937	25938	46029	0	20103	28127	0	35550	24349	2605	108145	425	7512	1200	28094	16096	20445	19926	739	14011	62865	15133	1434	471	15770	7917	4074	3214	952	1296	3649	607	11727	80089	123078	111024	222	109671	76186	98237	0	111978	75271	45813	667	2303	41701	41888	106184	54850	300	55557	50431	23990	1213	21656	102171	0	66310	72360	37728	85	21294	150	40989	13407	11724	9333	6917	611	1773	10741	5349	5437	1075	11873	10141	11912	11293	600	9417
D300444:bin_000010	2744055	2629	2754160	2717891	2815336	1399	2741674	1634680	2644846	653599	2571442	2462075	2627981	2174866	8916	2672217	2506960	1073381	14020	1611267	1501386	9637	1729917	1760196	61653	1132363	22347	261101	23282	1200614	917591	1500016	1541104	19670	970941	1166680	606383	33619	11236	808046	429408	287884	83114	27422	21783	140540	30317	463789	2750603	2775389	2790837	35182	2865393	2797232	2745244	2168	2847471	2857531	2805510	50422	81528	2724350	2837038	2808620	2420758	6002	1580781	2219800	2283997	20568	1588689	2824180	12503	1686406	1918123	861316	14162	1602115	6289	1347228	655806	944091	739065	525677	16187	40326	731054	198851	226082	30498	474246	451930	367742	374739	9875	226850
D300459:bin_000001	6083	0	4372	4630	6129	0	4657	2131	4351	561	4535	2900	5220	4385	0	3008	3266	1883	0	2675	2762	0	4293	3816	177	1078	412	0	0	2212	1619	1945	1534	0	474	1678	1033	0	0	499	424	300	0	0	0	0	150	1326	4136	5289	5651	0	6063	5384	4933	0	6087	6837	5312	0	0	5659	6175	4729	4180	0	2588	4807	2678	0	1752	6681	0	3383	2605	2118	0	1821	150	1172	1247	300	979	318	0	0	2525	952	0	0	233	546	1090	1006	0	0
D300463:bin_000012	321371	150	317677	310831	330066	512	300451	151615	303506	86485	287882	268339	273676	265290	3294	287295	236806	131450	2087	174149	189851	1021	226814	196153	9284	131411	5915	48849	3196	153322	131471	194772	154771	2957	97196	161088	117871	9448	1957	124289	73316	27239	25022	4420	5656	23168	4601	100604	309072	306558	311182	7516	359738	297874	297042	0	333798	344349	340282	8386	15616	315928	301156	323550	261929	1132	181500	261968	214277	2913	181850	328942	2452	240011	221446	137523	2664	181156	1017	149604	92665	105139	88729	73449	1585	5019	98762	40636	38210	5039	89639	73755	86851	90320	484	52968
D300464:bin_000017	2476170	20675	2476931	2470762	2477641	10526	2470833	2427770	2467227	2136142	2465554	2458600	2465208	2455337	77004	2466482	2456530	2362166	84509	2433339	2437686	63801	2448741	2435086	323707	2386592	83628	1365226	149686	2418351	2320013	2429482	2422920	129903	2357690	2424908	2335312	253826	61365	2266619	1707043	1021195	696825	175211	170220	746690	160126	2090634	2471610	2474769	2470876	143925	2480863	2472309	2468368	9771	2477571	2478719	2475872	317919	729790	2472882	2473704	2471186	2457273	31432	2436336	2460816	2446771	139210	2433680	2475860	57591	2450159	2441307	2307845	102323	2438307	31259	2393531	1869105	2284490	2173909	1952782	102311	213083	2157774	1313873	952920	175975	2101321	1854537	2103897	1980703	79992	1537841
