sequence_id	M301186.lib1	M301187.lib1	M301188.lib1	M301189.lib1	M301190.lib1	M301191.lib1	M301192.lib1	M301193.lib1	M301194.lib1	M301195.lib1	M301196.lib1	M301197.lib1	M301198.lib1	M301199.lib1	M301200.lib1	M301201.lib1	M301202.lib1	M301203.lib1	M301204.lib1	M301205.lib1	M301206.lib1	M301207.lib1	M301208.lib1	M301209.lib1	M301210.lib1	M301211.lib1	M301212.lib1	M301213.lib1	M301214.lib1	M301215.lib1	M301216.lib1	M301217.lib1	M301218.lib1	M301219.lib1	M301220.lib1	M301221.lib1	M301222.lib1	M301223.lib1	M301224.lib1	M301225.lib1	M301226.lib1	M301227.lib1	M301228.lib1	M301229.lib1	M301230.lib1	M301231.lib1	M301232.lib1	M301233.lib1	M301234.lib1	M301235.lib1	M301236.lib1	M301237.lib1	M301238.lib1	M301239.lib1	M301240.lib1	M301241.lib1	M301242.lib1	M301243.lib1	M301244.lib1	M301245.lib1	M301246.lib1	M301247.lib1	M301248.lib1	M301249.lib1	M301250.lib1	M301251.lib1	M301252.lib1	M301253.lib1	M301254.lib1	M301255.lib1	M301256.lib1	M301257.lib1	M301258.lib1	M301259.lib1	M301260.lib1	M301261.lib1	M301262.lib1	M301263.lib1	M301264.lib1	M301265.lib1	M301266.lib1	M301267.lib1	M301268.lib1	M301269.lib1	M301270.lib1	M301271.lib1	M301272.lib1	M301273.lib1	M301274.lib1	M301275.lib1	M301276.lib1	M301277.lib1	M301278.lib1	M301279.lib1	M301280.lib1	M301281.lib1	M301282.lib1	M301283.lib1	M301284.lib1	M301285.lib1	M301286.lib1	M301287.lib1	M301288.lib1	M301289.lib1	M301290.lib1	M301291.lib1	M301292.lib1	M301293.lib1	M301294.lib1	M301295.lib1	M301296.lib1	M301297.lib1	M301298.lib1	M301299.lib1	M301300.lib1	M301301.lib1	M301302.lib1	M301303.lib1	M301304.lib1	M301305.lib1	M301306.lib1	M301307.lib1	M301308.lib1	M301309.lib1	M301310.lib1	M301311.lib1	M301312.lib1	M301313.lib1	M301314.lib1	M301315.lib1	M301316.lib1	M301317.lib1	M301318.lib1	M301319.lib1	M301320.lib1	M301321.lib1	M301322.lib1	M301323.lib1	M301324.lib1	M301325.lib1	M301326.lib1	M301327.lib1	M301328.lib1	M301329.lib1	M301330.lib1	M301331.lib1	M301332.lib1	M301333.lib1	M301334.lib1	M301335.lib1	M301336.lib1	M301337.lib1	M301338.lib1	M301339.lib1	M301340.lib1	M301341.lib1	M301342.lib1	M301343.lib1	M301344.lib1	M301345.lib1	M301346.lib1	M301347.lib1	M301348.lib1	M301349.lib1	M301350.lib1	M301351.lib1	M301352.lib1	M301353.lib1	M301354.lib1	M301355.lib1	M301356.lib1	M301357.lib1	M301358.lib1	M301359.lib1	M301360.lib1	M301361.lib1	M301362.lib1	M301363.lib1	M301364.lib1	M301365.lib1	M301366.lib1	M301367.lib1	M301368.lib1	M301369.lib1	M301370.lib1	M301371.lib1	M301372.lib1	M301373.lib1	M301374.lib1	M301375.lib1	M301376.lib1	M301377.lib1
GPB:bin_000061	0	391971	784360	137499	240	907757	1313619	1718772	461197	1367127	0	0	1330159	1195409	1268710	1007969	1077710	1238385	258784	79215	348941	0	337025	0	1804523	1269583	2275798	5551	658646	74427	2191866	0	0	1032822	7099	2100	609533	1037093	606123	424073	96036	31552	0	1028731	8046	5885	0	1284160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1465	300	300	0	0	0	0	0	200	146	0	544	0	0	116	0	129	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	652691	555023	0	357206	0	503241	0	787158	0	0	997137	0	0	400837	1259810	511433	542115	0	0	240190	846571	767457	15984	833635	513898	140	4462	0	1071480	770704	1344418	1772109	2100745	2436283	2326908	1581374	826031	0	0	0	979790	1086131	1327252	221889	911631	52260	0	1383626	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	777	0	0	0	210	0	390	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	0	0	0	0	3885	0	0
GPB:bin_000062	0	224352	563275	91960	0	510369	767977	1000968	428988	754530	0	0	761429	693114	713762	472495	681401	715672	188569	34001	197743	0	360815	0	798383	833038	1102770	9885	388368	37620	991026	0	112	779565	3607	1289	302014	866489	556208	214606	112516	44481	0	498499	5844	3178	0	958885	88	0	0	0	0	0	0	0	271	0	0	0	172	0	0	0	0	174	0	0	0	148	0	0	250	0	0	447	0	0	133	0	449	0	94	0	0	0	0	0	0	0	0	0	0	148	0	0	567188	407831	158	321730	0	461068	0	524858	0	0	742325	0	0	313724	842617	388858	408623	171	0	269015	694591	528626	20601	723368	246462	0	14072	0	408272	603956	800112	976146	1137528	1028960	965865	831376	640430	0	0	0	599279	720460	796057	348599	513666	66324	150	826845	0	491	0	0	137	0	252	0	0	0	0	0	3860	0	0	0	0	0	1027	0	0	290	0	0	474	0	0	0	818	0	0	0	0	135	2037	0	0	0	0	0	0	2956	0	0	0	4690	605	0
GPB:bin_000063	0	440710	1025771	91461	0	1259067	1413719	2026796	338529	1160201	0	0	1110491	1431623	1322449	814849	1372798	1423255	267607	61895	328848	0	271513	0	1660597	1602458	2185422	45131	647311	69315	1962793	0	0	1013304	8742	4500	575852	953627	731035	375225	107130	40078	0	840145	5674	6776	0	1318042	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	796	0	0	0	0	0	0	0	0	0	176	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	763827	367887	246	373611	0	616068	0	687182	0	0	1187913	0	0	511112	1706589	812127	560340	138	0	345776	538750	1052032	5383	1117401	145560	0	525	0	870388	1075714	1687702	1289395	1185139	1967993	1829673	873018	681360	0	0	0	753926	790245	1763490	348737	590222	230938	0	1458495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	605	0	133	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0
GPB:bin_000064	0	98779	163630	31479	0	167942	225830	285091	145378	206497	0	0	205418	190491	186006	148718	204354	201034	59841	14213	76920	0	128346	0	229035	241131	276818	3739	150788	14909	256084	0	201	208670	5364	415	87755	221735	166528	103855	39000	11991	0	175043	3485	1448	0	241585	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	405	0	159	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178751	140904	0	113938	0	154260	0	178376	0	0	197208	0	0	113430	237765	124113	98755	393	0	99856	195579	161285	25051	199218	78320	0	8629	0	175560	189381	220711	246513	275944	278673	270125	248243	198827	0	0	0	166248	201669	250069	119648	193556	32007	0	226202	0	408	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	1133	0	0
GPB:bin_000065	0	611874	1243025	185744	384	901591	1826484	2454589	855966	1713854	0	0	2363903	1730534	1561142	1134894	1196869	2238746	516511	78507	326297	0	686134	150	2357588	2106562	2748698	10235	595258	93229	2660684	0	274	1675729	29144	1886	730225	1174660	871643	512806	123691	104030	0	1073837	14027	11665	0	2012435	0	0	0	0	0	0	0	0	128	0	150	0	0	0	0	0	264	106	0	0	0	0	0	0	520	633	0	440	0	0	0	180	0	0	0	0	139	0	0	0	0	0	0	300	0	0	0	0	831965	493218	154	556801	0	1067554	0	1159438	0	0	813293	0	0	700749	1918152	770007	997559	174	0	244126	1393014	1035422	23122	1521542	479504	0	3738	0	1456071	1034117	1979268	2129346	1924153	2764288	2333953	2325264	1250673	0	0	0	957829	1408919	2179479	549727	1042354	179986	0	2236753	0	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	300	228	0	365	0	0	0	148	0	0	300	353	0	903	0	0	0	0	0	0	322	0	0	0	4247	0	600
GPB:bin_000066	0	100372	183045	27131	0	170166	235594	322680	137117	212030	0	0	229084	210095	217278	155635	229183	219810	70274	15436	75692	0	127134	0	277995	275298	342066	5171	144901	15857	300951	0	576	222282	2700	0	91997	222015	183751	103599	40164	15360	0	178747	3183	450	0	261579	296	0	122	0	0	0	232	0	0	0	0	0	280	0	0	0	119	0	0	0	0	0	0	0	287	300	0	196	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180362	144850	0	107762	0	163758	0	179785	0	0	200764	0	0	119515	281560	134964	103603	0	0	93656	244428	173869	21487	207018	73167	0	6494	140	181689	194407	241235	306108	290176	307457	342453	265628	193521	0	0	0	185127	218375	288940	124997	205535	31198	0	256100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	373	0	0	0	477	0	0
GPB:bin_000067	396	1414371	1749781	755557	116	1858310	1934052	1975625	1821302	1887359	16432	514	1917935	1903833	1918690	1782197	1929909	1947637	1467772	283411	1352628	162	1187388	300	1947079	1959028	1970691	107105	1885745	430955	1974661	0	251	1913669	119098	28313	1665548	1941527	1810008	1483921	340636	207395	0	1788942	36092	54575	1449	1964435	0	0	300	257	0	0	0	0	272	0	150	0	0	87	0	0	0	3004	0	0	0	0	95	0	0	2114	0	136	166	271	438	0	498	0	0	0	0	177	0	0	0	132	0	0	0	0	0	0	1761696	1674429	699	1439659	0	1814679	0	1836118	0	0	1892029	300	464	1801625	1965879	1715209	1451776	708	0	1093959	1883068	1835528	68730	1912253	1335178	1055	25077	0	1870423	1835158	1933654	1969887	1964266	1995884	1979345	1968545	1950283	0	0	0	1841558	1891336	1956145	1640599	1895371	871689	461	1932601	0	200	0	0	0	0	0	0	0	0	0	0	300	0	0	150	0	163	0	0	122	600	0	307	1235	0	0	0	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0
GPB:bin_000068	0	95458	177050	28395	0	174536	234320	287628	155289	220993	0	0	222887	209008	215063	158161	209872	220356	64464	17585	84640	0	134450	0	242985	245790	280593	5258	145721	16729	257526	0	512	215969	1912	1058	104775	226166	181053	116219	44242	14448	0	176241	1654	1644	0	245911	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	137	0	0	478	0	513	0	0	0	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187681	160117	0	132398	0	167181	0	187440	0	0	200746	0	0	123417	243762	138113	136549	0	0	114071	201509	177325	21849	210158	78621	480	4674	0	191951	206384	229437	272790	275706	278340	289344	251653	205776	0	0	0	188047	214065	250173	136902	218650	34603	0	240114	0	366	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	420	0	300	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	203	0	0	0	1173	0	0
GPB:bin_000069	0	189369	412601	68417	240	483552	681015	969073	319352	668973	0	0	659414	617417	525231	402113	552829	686102	110497	32934	162935	0	212927	0	761974	803387	1067107	10737	406226	27696	1000876	0	85	621533	1680	1521	160701	725166	414182	177206	56184	32865	0	369367	6212	7858	0	973903	0	0	0	0	0	0	0	0	80	0	0	0	0	0	192	0	154	0	168	0	0	0	0	0	495	0	0	528	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	439212	343144	0	223528	0	392377	0	441609	0	0	560105	0	0	270215	887173	355316	444691	0	0	213557	537537	403074	13025	586707	158969	0	12283	0	464351	491048	652844	920768	1023199	1077924	1074441	879696	519942	0	0	0	407818	552077	804371	265633	411121	38651	0	713255	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186	0	115	0	260	300	793	0	0	0	213	0	0	0	0	0	1201	0	0	0	83	0	0	425	0	0	0	4384	386	0
GPB:bin_000070	0	0	1015	150	0	150	1810	3825	450	1053	0	0	3183	824	993	1350	687	2400	367	0	450	0	0	0	3480	1879	3746	0	276	0	1875	0	0	2498	0	0	744	2254	450	214	426	0	0	809	0	0	0	2374	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1942	899	0	1320	0	0	0	1074	0	0	1622	0	0	592	1364	458	150	0	0	0	1898	1050	277	1012	150	0	0	0	952	1180	1228	2352	2624	2258	2712	1748	1078	0	0	0	2167	760	1594	738	434	0	0	1608	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
