sequence_id	M301474.lib1	M301475.lib1	M301476.lib1	M301477.lib1	M301478.lib1	M301479.lib1	M301480.lib1	M301481.lib1	M301482.lib1	M301483.lib1	M301484.lib1	M301485.lib1	M301486.lib1	M301487.lib1	M301488.lib1	M301489.lib1	M301490.lib1	M301491.lib1	M301492.lib1	M301493.lib1	M301494.lib1	M301495.lib1	M301496.lib1	M301497.lib1	M301498.lib1	M301499.lib1	M301500.lib1	M301501.lib1	M301502.lib1	M301503.lib1	M301504.lib1	M301505.lib1	M301506.lib1	M301507.lib1	M301508.lib1	M301509.lib1	M301510.lib1	M301511.lib1	M301512.lib1	M301513.lib1	M301514.lib1	M301515.lib1	M301516.lib1	M301517.lib1	M301518.lib1	M301519.lib1	M301520.lib1	M301521.lib1	M301522.lib1	M301523.lib1	M301524.lib1	M301525.lib1	M301526.lib1	M301527.lib1	M301528.lib1	M301529.lib1	M301530.lib1	M301531.lib1	M301532.lib1	M301533.lib1	M301534.lib1	M301535.lib1	M301536.lib1	M301537.lib1	M301538.lib1	M301539.lib1	M301540.lib1	M301541.lib1	M301542.lib1	M301543.lib1	M301544.lib1	M301545.lib1	M301546.lib1	M301547.lib1	M301548.lib1	M301549.lib1	M301550.lib1	M301551.lib1	M301552.lib1	M301553.lib1	M301554.lib1	M301555.lib1	M301556.lib1	M301557.lib1	M301558.lib1	M301559.lib1	M301560.lib1	M301561.lib1	M301562.lib1	M301563.lib1	M301564.lib1	M301565.lib1	M301566.lib1	M301567.lib1	M301568.lib1	M301569.lib1
GPB:bin_000022	58967	16	57855	52456	63830	6	48670	33166	49667	12941	53189	41927	42356	52678	183	48887	52186	59620	190	62499	60610	70	77774	68152	233	52534	567	25877	148	57315	66909	61845	70244	320	53894	68504	54871	12123	30	59271	37442	25670	38438	113	1733	12788	1323	56412	49941	47188	48679	375	91137	50560	41614	6	61828	76200	60578	2159	1094	58672	75522	50553	45874	10	65986	56220	53499	710	58125	88002	181	73682	54000	102211	1206	60309	17	39138	77005	54102	65467	41082	82	128	56453	57209	21893	99	49117	56270	62238	61654	43	50849
GPB:bin_000023	141051	34	130039	127681	128214	14	119744	290575	145819	121610	140084	122709	127814	149784	114	147834	137529	131907	107	176640	148955	94	252527	154355	593	89881	6063	76833	1471	180508	207155	165119	168334	594	67652	137187	85113	3296	93	118143	97042	147692	41605	345	16042	48322	631	57310	125187	113852	121381	3710	236297	149729	114721	12	171736	204647	138984	554	7540	158249	156569	168874	146250	61	192407	153386	135703	403	124417	209140	283	179695	118406	211646	1936	117435	134	156566	104073	99111	205838	155323	179	391	199221	139249	264124	314	195555	34170	123661	194162	160	147585
GPB:bin_000024	15586	16	14514	14380	15429	0	13408	12608	14880	4549	15304	13715	13235	13992	68	15894	16814	13889	20	16387	17626	12	23046	17210	65	17484	256	7637	27	16316	14701	17146	18759	26	13355	16339	14891	2130	20	16171	14287	11269	8317	44	1199	4848	184	14775	12833	13077	13588	130	24209	14782	11641	4	17903	21057	19052	206	575	17541	20530	16263	15006	12	16106	17135	17094	38	17238	23206	6	18802	18518	20165	470	18749	13	12821	16695	15573	18873	18120	23	46	11817	13552	10628	46	19128	17183	13802	14954	4	11152
GPB:bin_000025	36032	5	31861	31357	27587	4	31055	41130	37627	20583	37953	30455	33902	30148	176	38303	41174	33740	336	50941	47938	147	66279	44093	191	42626	251	16963	86	49063	47172	46461	66334	652	37210	45230	41723	9810	23	40364	28149	42245	22070	92	2691	13051	591	45108	31900	27578	28476	246	54815	37870	30993	4	42297	52255	42369	384	1921	39234	36390	44318	38458	10	41656	45776	44333	160	37067	59488	48	46510	47820	57186	1244	49337	13	34997	50874	39468	60147	28351	102	165	39777	39566	27572	71	59229	41538	58384	45146	34	49993
GPB:bin_000026	30547	8	26758	31309	26260	4	27728	44502	29653	6825	34106	54051	26738	24910	67	41649	27409	35228	38	39961	40778	74	53556	38862	147	38725	2257	9066	64	52200	42218	37085	42136	72	48853	50504	44692	826	21	33337	33542	49186	20538	77	49	27000	42	26666	23836	33875	25244	389	51089	30426	28642	0	34949	42085	43169	26	317	57937	38564	35499	41059	26	36963	26413	35774	76	43294	45997	16	31938	37085	52570	199	38041	24	42952	24748	61368	50254	19281	46	92	26544	12403	1523	64	45141	24468	36564	44713	49	9850
GPB:bin_000027	16620	10	16664	15251	18586	4	13411	9561	14827	3715	14158	11733	14123	15315	52	15977	15429	13197	88	15329	15620	33	21540	15250	81	14826	326	9591	23	15984	14604	16452	19373	232	12929	16093	17701	1768	9	16937	21543	8794	5427	35	441	5888	188	13128	14176	13088	14391	119	23952	14597	11328	0	17927	19944	24996	274	508	16757	18894	15744	15261	6	15831	17105	15586	153	15491	22909	9	17829	19370	22642	476	19763	5	13127	15344	15522	17057	26474	10	33	16102	12847	12326	26	17989	13580	17821	18183	18	9747
GPB:bin_000028	17037	7	15907	15027	16379	2	14416	8380	13854	3408	13259	9209	12301	20118	31	17108	16399	17932	110	14482	14300	12	19191	10914	80	4722	11	7636	32	10396	15671	16004	11141	19	11657	9281	29003	741	4	23348	25321	13358	2282	37	504	12677	21	8610	14583	14421	13651	46	22613	19623	12936	0	15838	23528	18821	1701	472	23076	19513	18179	13072	2	11853	16589	13153	167	13414	24267	11	19861	16838	16422	368	11164	0	22809	18160	15528	21772	13377	18	603	20115	8354	2672	28	18208	12880	11061	72869	14	23743
GPB:bin_000029	11804	9	10373	10517	10924	0	10447	12786	12033	4858	12195	11184	10666	11828	22	11379	13147	11051	60	13115	13376	120	19934	14913	56	11916	369	4964	13	13185	11450	12022	11308	92	10490	11945	11304	4391	16	9804	11045	7294	3188	25	1083	2320	69	8665	9303	9708	11006	111	18126	11386	9635	0	13501	15899	14049	128	476	12436	17847	15475	11155	5	13839	11511	13029	21	12779	18006	7	13187	12821	16794	102	13310	9	9921	16891	11608	16679	16674	16	43	11103	12242	10472	18	14096	14617	12172	8857	6	5955
GPB:bin_000030	35481	12	32203	31596	34211	1	29860	37492	34412	13555	36065	32816	32113	33206	129	34708	38895	32722	171	39309	41578	39	57568	41463	162	34135	797	17060	91	40649	31512	36865	40129	434	30494	38245	36152	5969	22	31590	39971	26664	13445	88	4971	9400	211	32672	29357	28974	31652	243	54824	34650	27578	3	41833	48870	42301	659	1561	38745	49856	40840	33215	19	39932	36515	39309	232	38403	51901	67	41879	41053	52108	848	41137	18	28892	39486	38222	53172	47852	46	168	35076	36211	24574	64	41479	39754	35554	34901	24	25988
GPB:bin_000031	29922	4	27332	25382	30653	2	25615	23251	27448	7097	27629	23509	24536	27203	96	30497	31382	26740	58	31544	30060	16	44134	29763	142	30562	538	15764	40	31399	27569	32688	32533	332	25168	29688	30661	1835	17	27450	32170	18646	18673	61	3130	8677	112	25357	24762	23521	25212	158	45495	27722	21841	0	34880	40701	37013	419	1164	33035	40647	32703	26764	15	31907	30566	29204	55	30859	42342	45	34122	32845	48583	381	32668	10	24095	31284	25887	36746	34837	76	117	29767	24290	29148	60	37702	27788	28688	31079	30	21339
