sequence_id	M301186.lib1	M301187.lib1	M301188.lib1	M301189.lib1	M301190.lib1	M301191.lib1	M301192.lib1	M301193.lib1	M301194.lib1	M301195.lib1	M301196.lib1	M301197.lib1	M301198.lib1	M301199.lib1	M301200.lib1	M301201.lib1	M301202.lib1	M301203.lib1	M301204.lib1	M301205.lib1	M301206.lib1	M301207.lib1	M301208.lib1	M301209.lib1	M301210.lib1	M301211.lib1	M301212.lib1	M301213.lib1	M301214.lib1	M301215.lib1	M301216.lib1	M301217.lib1	M301218.lib1	M301219.lib1	M301220.lib1	M301221.lib1	M301222.lib1	M301223.lib1	M301224.lib1	M301225.lib1	M301226.lib1	M301227.lib1	M301228.lib1	M301229.lib1	M301230.lib1	M301231.lib1	M301232.lib1	M301233.lib1	M301234.lib1	M301235.lib1	M301236.lib1	M301237.lib1	M301238.lib1	M301239.lib1	M301240.lib1	M301241.lib1	M301242.lib1	M301243.lib1	M301244.lib1	M301245.lib1	M301246.lib1	M301247.lib1	M301248.lib1	M301249.lib1	M301250.lib1	M301251.lib1	M301252.lib1	M301253.lib1	M301254.lib1	M301255.lib1	M301256.lib1	M301257.lib1	M301258.lib1	M301259.lib1	M301260.lib1	M301261.lib1	M301262.lib1	M301263.lib1	M301264.lib1	M301265.lib1	M301266.lib1	M301267.lib1	M301268.lib1	M301269.lib1	M301270.lib1	M301271.lib1	M301272.lib1	M301273.lib1	M301274.lib1	M301275.lib1	M301276.lib1	M301277.lib1	M301278.lib1	M301279.lib1	M301280.lib1	M301281.lib1	M301282.lib1	M301283.lib1	M301284.lib1	M301285.lib1	M301286.lib1	M301287.lib1	M301288.lib1	M301289.lib1	M301290.lib1	M301291.lib1	M301292.lib1	M301293.lib1	M301294.lib1	M301295.lib1	M301296.lib1	M301297.lib1	M301298.lib1	M301299.lib1	M301300.lib1	M301301.lib1	M301302.lib1	M301303.lib1	M301304.lib1	M301305.lib1	M301306.lib1	M301307.lib1	M301308.lib1	M301309.lib1	M301310.lib1	M301311.lib1	M301312.lib1	M301313.lib1	M301314.lib1	M301315.lib1	M301316.lib1	M301317.lib1	M301318.lib1	M301319.lib1	M301320.lib1	M301321.lib1	M301322.lib1	M301323.lib1	M301324.lib1	M301325.lib1	M301326.lib1	M301327.lib1	M301328.lib1	M301329.lib1	M301330.lib1	M301331.lib1	M301332.lib1	M301333.lib1	M301334.lib1	M301335.lib1	M301336.lib1	M301337.lib1	M301338.lib1	M301339.lib1	M301340.lib1	M301341.lib1	M301342.lib1	M301343.lib1	M301344.lib1	M301345.lib1	M301346.lib1	M301347.lib1	M301348.lib1	M301349.lib1	M301350.lib1	M301351.lib1	M301352.lib1	M301353.lib1	M301354.lib1	M301355.lib1	M301356.lib1	M301357.lib1	M301358.lib1	M301359.lib1	M301360.lib1	M301361.lib1	M301362.lib1	M301363.lib1	M301364.lib1	M301365.lib1	M301366.lib1	M301367.lib1	M301368.lib1	M301369.lib1	M301370.lib1	M301371.lib1	M301372.lib1	M301373.lib1	M301374.lib1	M301375.lib1	M301376.lib1	M301377.lib1
GPB:bin_000084	0	18734	25673	1242	0	15020	50500	272472	8865	26995	0	2	58188	16177	65336	20884	57915	25220	6399	8964	5557	0	41072	0	24120	46328	367836	173	9758	522	54456	0	4	36762	59	46	4897	56563	17882	10192	25155	761	0	217108	168	1066	0	56735	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	2	2	0	2	30	0	4	10	8	4	60	0	0	6	0	0	0	0	0	0	0	0	8	0	0	0	0	25518	102452	0	10246	0	46095	0	29236	0	0	21468	0	0	5905	52528	270363	32200	0	0	11775	20613	59069	688	39497	2989	0	151	0	77319	26595	133156	44595	90247	73780	107885	709678	47561	0	0	6	24286	50829	53784	183964	28137	3440	0	58857	0	8	2	0	0	0	0	14	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	10	0	0	30	0	0	0	0	0	0	2	0	0	0	105	0	0
GPB:bin_000085	0	5122	18669	1721	0	20277	41429	86784	12798	29105	0	0	30210	23783	25436	15152	29473	33788	2384	738	4670	0	12830	0	33800	65780	114043	225	11464	604	65616	0	10	45233	134	59	4928	55964	23832	9216	2236	791	0	24899	54	11	0	65634	6	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	6	0	4	0	31	0	0	10	0	0	0	0	0	0	10	2	0	0	0	0	0	36344	25100	2	13370	0	26126	0	25213	0	4	32030	0	0	8029	45850	9598	15164	0	0	13054	31341	15570	2082	42353	3870	0	560	0	28785	35163	50036	67855	100215	77650	79798	63434	34688	0	0	0	28750	70865	78457	15724	36390	2830	8	70722	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	18	0	0	0	0	0	0	20	4	0	36	0	0	0	0	0	0	0	0	0	0	86	0	4
GPB:bin_000086	0	17098	53718	5899	2	67056	139414	261396	41263	103568	0	8	96880	83801	82168	50648	111418	141139	9471	2260	15739	0	38737	22	107113	215666	348031	539	37530	2002	236231	0	36	195316	369	185	18860	201119	71881	28365	9474	2551	0	89021	319	73	0	233719	1	0	0	0	0	0	0	0	6	0	0	0	6	22	0	0	0	0	2	0	0	4	0	0	7	41	0	38	0	54	0	87	4	0	108	0	0	2	0	0	0	0	0	0	0	0	0	0	126729	99445	26	50951	0	87506	0	81522	0	0	94576	0	0	26929	167101	33348	57922	88	0	47725	93952	47080	1514	166768	14177	0	709	0	89108	121555	162560	228927	362905	290517	292878	223046	124300	0	0	0	110109	209846	255712	60435	118954	10915	42	244005	0	97	0	0	4	0	6	0	0	0	0	5	0	0	6	17	4	8	70	0	0	8	20	12	96	0	0	0	6	12	0	22	14	0	110	0	0	0	0	0	6	28	0	0	0	803	14	2
GPB:bin_000087	0	7339	25921	1277	0	18807	49704	89174	13590	37566	0	0	29276	25937	23787	11667	20712	40071	2494	2606	5688	0	14733	0	28262	67190	149444	60	10482	331	64633	0	0	51009	41	16	6681	63427	21726	8706	1904	1040	0	19871	68	49	0	98629	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	21	18	0	0	0	0	0	2	0	0	6	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44011	32709	28	15935	0	19937	0	19394	0	0	41831	0	0	7446	34855	6168	37876	0	0	13167	25229	12775	356	52399	3154	0	109	0	35526	30050	50797	59676	107017	105957	67866	33933	40112	0	0	0	15938	77494	76337	10983	22157	5688	0	79501	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	4	6	0	0	0	0	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	12	0	0
GPB:bin_000088	0	2901	9570	859	0	10953	23524	45960	6690	16865	0	0	16624	12760	13113	8598	16699	18260	1296	366	2369	0	7555	0	17761	34798	59711	79	5765	388	37230	0	0	25043	76	63	2841	31820	12348	4755	1357	429	0	13296	83	21	0	36725	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	18916	12726	0	7165	0	13794	0	12790	0	0	16744	0	0	4121	24374	5697	9320	43	0	7265	16697	8830	550	23945	2212	0	182	0	15359	18351	28036	33552	57094	43972	45868	34482	19288	0	0	0	15544	41647	41324	8654	21555	1601	0	37584	0	18	0	0	0	0	0	0	0	0	0	0	2	0	0	28	0	0	0	0	0	36	0	0	16	0	0	0	7	20	0	0	0	0	16	0	0	0	0	0	2	0	0	0	0	40	4	2
GPB:bin_000089	0	101	338	42	0	254	652	1661	170	508	0	0	641	468	388	203	408	646	57	26	105	0	135	0	642	1005	1496	8	196	9	1072	0	0	660	0	0	113	1207	356	104	0	0	0	310	2	0	0	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587	662	0	222	0	401	0	373	0	0	505	0	0	82	905	165	454	0	0	91	589	290	0	837	85	0	0	0	170	480	740	1185	1774	1310	1467	1093	529	0	0	0	297	661	966	424	627	32	0	1357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0
GPB:bin_000090	0	4335	12642	1051	0	18734	33667	55087	9421	25178	0	0	30247	18626	21878	15757	24019	21726	1740	427	1537	0	9333	0	32708	45516	71706	89	9375	527	47020	0	8	33040	54	42	4855	33805	19739	5388	2312	1053	0	21012	134	31	0	68411	0	0	0	0	0	0	0	0	6	0	1	6	2	0	0	0	12	0	0	0	0	0	8	0	40	158	0	5960	0	0	1	2	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	41587	23484	0	7245	0	18441	0	18943	0	0	29665	0	0	6115	40210	11806	21619	10	0	18340	25419	17879	333	29244	1045	0	81	0	21915	35391	39422	37916	74861	79102	83299	64114	23098	0	0	0	32680	47880	53945	12064	32341	2334	0	65482	0	54	0	22	48	0	0	0	0	0	0	2	0	0	0	0	0	10	37	0	0	4	28	0	35	0	0	0	0	0	10	0	0	0	33	0	0	0	0	0	0	17	0	0	0	208	8	0
GPB:bin_000091	0	775	4005	221	0	3312	7866	17589	1576	6847	0	0	7603	6319	4452	2507	7503	5483	779	678	775	0	1331	0	7020	11166	17485	1	1433	64	7149	0	0	4064	22	6	1813	15006	4348	2272	540	387	0	2629	64	14	0	22705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2660	6414	0	2412	0	7357	0	5436	0	0	8719	0	0	1639	11660	1813	2030	0	0	7509	1544	1551	10	7511	151	16	8	0	1122	7998	12340	8081	24223	9256	19819	17727	10061	0	0	0	7022	6634	23711	1525	6103	214	0	19578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
GPB:bin_000092	0	18895	73750	8151	0	74992	136787	278283	45646	99888	0	0	127130	96306	89047	65446	107510	133546	9611	2724	15532	8	49229	6	105609	226744	446702	1141	37781	1583	240234	0	2	134371	270	1627	16065	182228	89276	38111	11221	5083	0	98175	565	631	12	470219	2	0	0	0	0	0	1	0	18	0	0	0	0	24	18	0	80	37	0	0	0	0	0	0	58	64	0	134	32	4	0	1438	14	0	0	0	0	8	0	0	16	1	0	0	0	0	12	0	141471	101872	16	43720	0	90643	0	74874	0	0	111574	0	8	33775	188942	31001	97901	43	6	63303	113019	39939	1645	172695	20836	0	3521	0	118800	124308	204415	207816	232310	269914	309514	259004	140806	0	0	0	124705	252212	228488	67005	133435	9994	0	241546	0	61	0	46	6	0	4	46	6	4	0	3	0	0	6	12	0	4	108	0	0	109	256	0	227	0	0	12	30	0	0	18	0	0	185	0	0	0	0	0	0	94	4	0	0	1705	26	0
GPB:bin_000093	0	7	4	0	0	14	28	51	4	8	0	0	38	49	7	14	4	51	0	0	2	0	13	0	27	30	108	0	4	0	28	0	0	46	0	0	10	2	13	0	1	0	0	23	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	31	0	0	0	15	0	18	0	0	41	0	0	6	21	6	14	0	0	34	38	12	5	17	4	0	0	0	29	21	34	73	62	37	43	37	0	0	0	0	9	112	105	9	48	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
