sequence_id	M301570.lib1	M301571.lib1	M301572.lib1	M301573.lib1	M301574.lib1	M301575.lib1	M301576.lib1	M301577.lib1	M301578.lib1	M301579.lib1	M301580.lib1	M301581.lib1	M301582.lib1	M301583.lib1	M301584.lib1	M301585.lib1	M301586.lib1	M301587.lib1	M301588.lib1	M301589.lib1	M301590.lib1	M301591.lib1	M301592.lib1	M301593.lib1	M301594.lib1	M301595.lib1	M301596.lib1	M301597.lib1	M301598.lib1	M301599.lib1	M301600.lib1	M301601.lib1	M301602.lib1	M301603.lib1	M301604.lib1	M301605.lib1	M301606.lib1	M301607.lib1	M301608.lib1	M301609.lib1	M301610.lib1	M301611.lib1	M301612.lib1	M301613.lib1	M301614.lib1	M301615.lib1	M301616.lib1	M301617.lib1	M301618.lib1	M301619.lib1	M301620.lib1	M301621.lib1	M301622.lib1	M301623.lib1	M301624.lib1	M301625.lib1	M301626.lib1	M301627.lib1	M301628.lib1	M301629.lib1	M301630.lib1	M301631.lib1	M301632.lib1	M301633.lib1	M301634.lib1	M301635.lib1	M301636.lib1	M301637.lib1	M301638.lib1	M301639.lib1	M301640.lib1	M301641.lib1	M301642.lib1	M301643.lib1	M301644.lib1	M301645.lib1	M301646.lib1	M301647.lib1	M301648.lib1	M301649.lib1	M301650.lib1	M301651.lib1	M301652.lib1	M301653.lib1	M301654.lib1	M301655.lib1	M301656.lib1	M301657.lib1	M301658.lib1	M301659.lib1	M301660.lib1	M301661.lib1	M301663.lib1	M301664.lib1
GPB:bin_000111	3516068	3658584	3474310	3291425	20521	36255	3482623	3774442	3637439	2850082	2624015	51429	3070866	2732133	3513758	5311	17440	3030723	3330139	3749109	109330	2003149	13052	3543245	3588768	3431510	77737	2441618	3641145	2046110	3265	15083	3431369	3782861	3553809	48041	3635196	27186	3759028	3842078	51897	18157	61754	68984	127389	9254	54012	14256	3756629	46361	3392989	3657116	2954157	138522	565012	3656590	186448	2722720	77274	3719064	54142	3681717	3815058	279427	3659857	78028	3679231	65481	3566596	3253607	2776444	3655426	3243432	2858631	13191	3485543	3448848	3128291	3840440	20907	25748	27630	3606	3432	1202	3622	1538	5428	5881	9374	3039	6265	2591	4955
GPB:bin_000112	152488	150601	157813	137953	450	2065	143636	174618	156609	144765	118075	2996	141090	118814	129629	0	383	139968	139286	157755	6198	87379	0	152725	168058	148131	4267	78378	134250	95077	187	0	151887	159285	134363	1903	145285	1731	171945	175334	600	896	3793	3343	4294	600	1055	826	143971	2735	152528	150227	133697	6153	55657	159540	17158	113574	2711	163460	1417	143582	150427	19838	156766	3969	161925	3220	154594	148037	130386	162509	134647	129795	1118	147167	142735	133637	170091	624	1393	1138	150	888	0	509	0	244	171	300	300	0	126	0
GPB:bin_000113	1160306	1287377	1201363	1729483	9475	10742	852339	1772159	1304825	961550	801505	18743	940773	1435726	1459373	2601	4617	826589	1069675	1688442	21166	545894	4969	1200317	1878591	1685165	15313	475921	801107	857875	943	2632	1085535	926520	817919	17006	1019836	13010	1044353	1165206	12901	5404	17604	17526	40573	3574	15780	6687	1159182	16229	1062749	1420301	1072013	37045	231294	1142385	112199	749994	16714	926098	15453	1270010	995081	107238	1670002	30049	800358	28572	901502	1672890	687330	1679569	1110466	828993	4793	1488489	900949	1083388	1821866	6353	6114	6223	450	874	739	2457	460	1719	300	3108	1055	1510	132	984
GPB:bin_000114	200768	223757	205657	196740	2623	3369	194025	217994	202932	200675	179324	5388	192008	184769	195005	600	1117	189870	181961	221691	8413	155651	3042	204218	213978	204911	6761	147916	205031	167620	983	690	202521	221013	215583	7054	213903	2248	227236	235109	3545	1549	6649	7062	13402	1039	3735	1948	229846	5351	215365	217070	197858	13848	94413	217435	42561	182584	7741	231784	8585	200664	211938	49101	220974	15324	220417	7191	200183	216263	193156	213220	198125	205327	1513	203137	197865	199373	226424	2826	1731	2741	703	391	154	300	0	600	385	1665	1023	0	300	256
GPB:bin_000115	1403988	1354607	1409028	1422732	7929	11041	1318511	1439467	1329700	1353875	1136456	20433	1239898	1109878	1346448	2431	6711	1191220	1183467	1427191	35899	877540	6798	1332758	1493354	1384717	25995	958510	1288886	1026737	1894	4292	1341948	1375695	1382062	14452	1305387	10706	1507836	1513941	13704	5560	21864	21337	47186	3236	17245	7207	1426807	28552	1365188	1416797	1240489	46587	401423	1461301	157116	1088266	25151	1440849	19203	1404205	1375624	185293	1482724	42609	1414190	24275	1446990	1340887	1132464	1534907	1148488	1295919	6259	1254005	1294769	1156541	1461602	6344	9124	11069	886	1728	1183	1331	507	1983	1959	5339	2571	1799	1839	1458
GPB:bin_000116	1268	1883	2004	1454	0	0	1899	1066	1770	1671	1012	0	300	671	1272	0	0	791	600	1074	0	150	0	1393	872	325	0	150	793	920	0	0	1488	631	1389	150	1677	0	1768	449	0	135	0	0	0	0	0	0	2183	0	1539	1585	1570	0	728	2461	185	1210	0	2284	0	1788	1550	0	1014	0	1048	0	728	1878	750	1996	806	1025	0	1073	1258	1316	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPB:bin_000117	1114619	1037952	1097871	1118062	3848	10982	1035664	1113995	1023433	1059965	891878	15350	958189	851382	1071689	600	5432	922525	913849	1103941	24552	646855	4950	1038487	1181547	1099300	17895	734381	1007185	799224	810	3871	1041917	1084846	1086909	15598	1006177	7706	1185050	1180681	10783	5531	16643	19559	35619	2523	11708	3466	1097491	17201	1053894	1100133	938166	36498	240561	1131883	97047	831439	15177	1121731	13297	1097138	1073727	107605	1180723	26071	1107002	16473	1158491	1053557	859682	1218891	871445	1008088	3247	952260	1018254	879086	1143781	7910	5333	6255	300	1336	1041	450	826	1427	902	1697	415	2700	407	556
GPB:bin_000118	2443409	2775904	1946728	2112163	6841	16129	1811790	2550941	2331903	1610982	1305108	19847	1306430	1532578	1753471	1226	5687	1758969	1470153	2442550	38831	628168	4523	2381076	2411673	2385014	20934	506407	1980301	1154311	1761	3752	2390784	2195341	1554444	14669	2207268	8148	2405240	2558881	11191	8296	17822	19359	41778	5050	15969	7805	2010751	22598	2203326	2055191	1881522	42127	169435	2788041	48576	1830249	18066	2559498	16255	2259281	2327080	84667	2531242	30334	1825011	21293	1587005	1834006	2216668	2072577	1821352	1757925	3569	1729416	1681788	1656350	2606892	6994	6925	8863	1066	737	1205	1144	581	1571	3405	2599	1129	1993	495	289
GPB:bin_000119	46347	47811	44694	46187	850	1843	45419	47348	46951	46745	40829	2784	45187	41720	46410	737	1820	43039	44596	47401	3123	40051	450	46900	46787	46227	2932	37104	44893	40896	150	389	45872	48194	44789	2825	46626	1422	48311	51088	995	0	2305	2767	4922	0	2095	980	48226	1915	48181	46061	45380	4167	24974	48675	11019	41547	2666	48462	2323	47594	46686	14675	48592	3540	47298	2359	44355	48594	44915	46709	47851	45496	754	46502	46427	43890	49760	0	1189	1271	180	248	0	0	407	0	0	300	133	851	0	0
GPB:bin_000120	26410	34898	26115	27082	266	556	25493	31265	28680	28296	24287	450	27339	27302	24975	300	0	26720	26598	30589	895	20443	433	27270	29513	27914	1255	17281	28741	21083	0	150	29081	32101	30977	150	33374	182	34816	34722	904	251	479	488	781	0	324	0	33796	413	32988	31127	28577	1936	10961	32910	6053	23780	846	36860	1029	30589	32044	3774	31096	1624	29930	1009	27571	32224	26847	30487	30321	31362	0	28981	27653	28371	35365	0	571	591	134	0	0	0	0	0	0	450	0	150	0	150
GPB:bin_000121	4181165	4204679	4163339	4185964	38191	83359	4186387	4209339	4201554	4140941	4078460	113917	3998796	3905073	4178696	13891	32877	4147377	4122266	4211562	173461	3583185	25571	4172115	4189098	4184597	149549	3146387	4138536	3677841	10786	24134	4170965	4211327	4177254	101674	4180881	61089	4204103	4211581	94109	39466	128003	129099	262600	14211	115930	32719	4209463	102401	4193309	4186056	4107810	266241	1110208	4209851	843577	3801645	112060	4206454	90900	4203019	4210707	564432	4206183	226126	4152360	146275	4162266	4205755	4167036	4208283	4137498	4158919	20902	4163880	4128892	4124955	4213371	43761	44607	61611	4987	8761	2775	7251	2943	9882	6435	21844	14787	13177	7750	9510
GPB:bin_000122	245696	241751	239663	246588	3823	4599	239030	257668	246750	254016	222575	5918	238900	217795	240974	273	951	237674	229464	252678	10030	206872	2067	249837	248515	242264	7231	212470	237364	211297	666	1134	242930	252819	242449	7113	249030	3374	262664	266365	5371	2105	6637	6225	15811	935	4750	1604	246711	10041	247425	242994	237075	17709	146880	255968	56248	225024	8580	248222	9919	241861	245041	76230	255574	13329	248728	7464	240473	246289	235172	252773	240064	239221	2622	240550	237834	232261	264005	2666	4087	3829	150	757	467	450	446	787	450	2132	202	380	993	352
GPB:bin_000123	482777	344387	376168	681319	806	2547	355877	516657	541588	562070	313282	4632	338820	309438	278921	0	1654	275088	765289	496934	5697	197818	799	235642	774021	363066	3619	245287	218315	190543	291	521	235419	455665	214462	4604	477221	2091	494026	618358	1599	768	3120	3541	10477	626	4562	707	315298	4376	372847	251316	306343	10365	71552	411201	29385	398366	4065	522570	3693	578153	440841	33634	235635	9525	597604	3834	334088	247183	365111	418130	258578	261496	631	287106	448852	561642	481965	568	2205	1702	0	450	0	0	300	163	0	793	678	623	150	300
GPB:bin_000124	226660	221492	212343	198963	2596	3012	184679	203244	235379	210500	189389	2228	208555	175325	218371	723	170	202771	204511	227096	6667	173377	1650	225704	135271	230246	5457	175219	202634	169074	700	1412	222036	227637	211464	1718	229024	1210	220910	241483	3077	1860	4837	3100	8491	611	3878	1508	234344	4030	235915	204618	202812	11405	75724	240065	25771	172895	4368	233404	1972	228680	208791	32591	243005	9218	222946	5353	228455	230832	197549	213255	205083	236042	3660	219783	219026	209978	237807	850	1050	1742	0	0	181	540	169	258	150	1168	138	660	0	0
