sequence_id	M300554.lib1	M300555.lib1	M300556.lib1	M300557.lib1	M300558.lib1	M300559.lib1	M300560.lib1	M300561.lib1	M300562.lib1	M300563.lib1	M300564.lib1	M300565.lib1	M300566.lib1	M300567.lib1	M300568.lib1	M300569.lib1	M300570.lib1	M300571.lib1	M300572.lib1	M300573.lib1	M300574.lib1	M300575.lib1	M300576.lib1	M300577.lib1	M300578.lib1	M300579.lib1	M300580.lib1	M300581.lib1	M300582.lib1	M300583.lib1	M300584.lib1	M300585.lib1	M300586.lib1	M300587.lib1	M300588.lib1	M300589.lib1	M300590.lib1	M300591.lib1	M300592.lib1	M300593.lib1	M300594.lib1	M300595.lib1	M300596.lib1	M300597.lib1	M300598.lib1	M300599.lib1	M300600.lib1	M300601.lib1	M300602.lib1	M300603.lib1	M300604.lib1	M300605.lib1	M300606.lib1	M300607.lib1	M300608.lib1	M300609.lib1	M300610.lib1	M300611.lib1	M300612.lib1	M300613.lib1	M300614.lib1	M300615.lib1	M300616.lib1	M300617.lib1	M300618.lib1	M300619.lib1	M300620.lib1	M300621.lib1	M300622.lib1	M300623.lib1	M300624.lib1	M300625.lib1	M300626.lib1	M300627.lib1	M300628.lib1	M300629.lib1	M300630.lib1	M300631.lib1	M300632.lib1	M300633.lib1	M300634.lib1	M300635.lib1	M300636.lib1	M300637.lib1	M300638.lib1	M300639.lib1	M300640.lib1	M300641.lib1	M300642.lib1	M300643.lib1	M300644.lib1	M300645.lib1	M300646.lib1	M300647.lib1	M300648.lib1	M300649.lib1
D300418:bin_000013	240	0	6	136	0	319	291	204	181	266	8	0	127	201	0	203	223	220	29	0	258	0	348	269	578	0	285	194	73	222	310	0	0	0	815	228	111	0	258	208	384	343	229	310	256	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300429:bin_000001	6411	26	147	8035	0	5824	5905	7208	5616	6973	335	0	4203	5761	0	5534	6208	5928	1591	2	5543	2	6434	6209	7377	30	7107	4272	1110	5543	6793	0	0	0	13089	6735	6453	13	6721	5772	5704	6093	5766	9658	6895	7007	0	0	17	0	0	0	89	0	0	2	0	0	2	0	0	0	0	56	0	0	0	0	2	0	0	0	0	0	0	2	0	0	4	1	1	0	1	0	0	2	0	0	0	0	0	0	0	5	0	0
D300432:bin_000001	1860	30	69	1618	0	1648	1535	2010	1772	1879	64	0	1411	1932	0	1597	1904	1729	516	0	1628	0	1548	1914	1655	8	1686	1522	439	1650	1968	0	0	0	3683	2034	1819	3	1866	1754	1969	2024	2205	2079	2289	1770	0	0	0	0	0	0	26	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	9	0	0	0	0	0	0	0	0	8	0	1	1	0	0	0	0	8	0	0	0	0	12	0	0	4	0	0
D300440:bin_000012	35663	449	824	14697	8	22854	21738	21146	24443	24782	1567	0	22466	15890	0	16100	23488	23165	5528	0	21959	0	18002	22101	31481	78	20828	18984	4173	21725	23226	0	0	0	37551	36407	20062	0	24066	20674	22785	35586	28795	30308	28502	27951	0	0	0	6	0	0	282	0	0	9	0	0	0	0	0	0	0	100	0	0	0	0	8	0	0	0	0	0	0	0	20	0	18	36	0	0	0	0	2	94	2	0	0	0	112	0	0	0	0	6
D300442:bin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300443:bin_000002	3662	5	23	1605	0	1663	1037	1312	3248	2750	175	0	1458	1135	0	1036	1172	1427	3106	0	1476	0	753	2920	1838	4	3436	914	231	1419	1162	0	0	0	2813	5382	1339	0	2387	1579	1181	1466	1415	1680	1479	1007	0	0	89	51	0	26	26	0	25	45	61	0	36	4	0	0	14	30	0	159	0	0	94	20	0	0	0	38	20	63	3	41	0	67	87	0	114	0	91	41	5	0	0	0	45	82	0	34	38	0
D300444:bin_000010	249971	542	431	123686	0	183839	175208	188692	180668	218027	7509	0	128787	160495	0	124743	234300	187021	46764	8	127437	6	184030	181442	170400	36	192588	134029	46519	156222	190435	0	0	0	356665	345380	149313	277	194809	153244	204478	282921	204656	284185	230941	220495	0	0	0	0	0	0	2032	0	0	0	12	0	0	0	0	2	0	296	0	0	0	9	220	0	0	0	0	0	0	4	0	26	66	0	1	0	0	0	2	52	4	0	0	0	4	0	0	0	0	0
D300459:bin_000001	183	0	0	140	28	144	176	102	146	116	16	0	79	120	0	105	92	173	41	127	67	0	230	100	147	24	83	96	46	94	104	0	0	0	217	111	116	0	155	107	150	113	113	185	88	140	0	0	0	0	0	8	5	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	0	0	0	44	0	0	0	0	0
D300463:bin_000012	41496	761	728	17814	14	27478	27807	24049	26554	28891	1469	0	23647	21194	0	18959	24862	27428	6617	6	22808	0	22612	24383	39243	131	25625	19162	5491	24344	30026	0	0	0	49129	37296	22123	15	26891	23882	31949	37121	33135	34545	32550	33554	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	4	0	0	0	0	0	0	0	34	30	12	1	0	0	0	0	0	62	0	0	0	0	3	0	0	0	0	0
D300464:bin_000017	1358618	11628	24132	1264840	7	1187660	959686	1189572	1179618	1231568	72305	13	886697	996530	0	998959	1226681	1287776	302194	119	936733	31	961776	1030633	1365213	2000	1361328	1153955	271690	1119023	1039624	56	24	0	2690200	1342803	986323	613	1214888	1079598	1383809	1157660	1350486	1549518	1238562	1215042	0	24	40	0	6	0	13681	2	0	1	2	0	0	10	0	9	3	10135	10	0	0	12	1403	14	0	48	0	1	10	2	2	6	182	6	32	0	22	0	0	105	0	2	15	0	16	1	0	0	1	64
D300472:bin_000003	5044	22	168	6262	2	4257	5408	5445	4262	5210	243	0	2937	4299	0	4740	5175	4326	1250	2	4062	1	4803	5045	4691	30	5082	3165	783	3919	4903	0	0	0	9422	4609	5286	0	5431	4504	4460	4317	4400	7433	4934	4691	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300474:bin_000002	661	18	39	744	4	558	539	641	710	711	20	0	457	523	0	644	648	597	178	0	531	0	655	675	614	8	592	564	111	600	560	0	0	0	1134	634	661	0	672	640	660	596	687	958	560	610	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D300474:bin_000012	19107	230	416	9214	0	13847	34798	13276	14801	15416	745	0	11465	12598	0	10259	15110	15100	3759	1	12017	18	11987	15212	18033	170	13224	11629	3358	13345	13991	0	0	0	27465	16679	13142	28	13780	13792	15812	17822	15637	16683	15265	15288	0	0	25	0	0	0	135	0	0	28	38	0	0	0	0	0	0	92	0	14	0	0	2	0	0	0	0	0	0	0	2	4	72	0	0	0	0	0	0	11	0	0	0	0	12	0	0	0	0	0
D300479:bin_000001	98136	412	2091	43932	47	128145	103446	160564	180045	158134	4628	17	78986	124225	4	107942	95504	156224	38259	14	103500	4	126157	128678	155705	50	90559	98103	27926	147297	109030	65	2	0	260224	170395	118137	32	145658	171915	182132	128623	200914	173388	180217	122748	2	39	1816231	65829	50	55112	3894	10	228262	1378609	906327	16343	1372846	8457	14	13	106707	220623	17	230566	69	172	141433	253612	10569	758	2	161926	384191	126896	63505	305911	59	414009	811709	32	193122	3366	339160	1752728	110380	134	1093	14	1726478	259111	26	2897228	1335785	1321
D300479:bin_000012	386068	565	12191	316086	2	281557	217435	355523	286697	290569	11288	1	207751	321196	0	254293	309577	244205	56893	32	199123	10	239000	197863	357828	4557	279050	260991	81318	280866	231350	0	0	0	615909	320117	278431	693	240252	272024	392136	331244	346879	340794	256736	304445	0	1	1	0	2	0	2409	0	4	0	40	0	6	0	0	4	0	2927	0	0	0	5	68	6	0	0	0	0	0	0	0	0	0	14	4	2	2	0	0	0	2	0	6	0	0	0	0	31	0	2
D300482:bin_000009	64793	791	1467	21981	4	39100	41009	37171	44845	43949	2577	0	37807	29907	0	29031	45291	46387	9567	9	40216	2	33370	41139	53320	223	36260	36110	8216	38628	41760	10	0	0	65187	60831	38036	32	42366	39716	40736	59118	47543	49003	49029	46603	0	0	0	16	0	0	543	0	0	67	0	0	0	0	0	0	0	158	0	0	0	1	50	0	0	0	0	0	0	0	36	62	0	44	0	0	0	0	4	63	2	0	0	0	249	0	0	0	0	0
D300491:bin_000007	3051	38	34	2006	36	2388	2938	2077	2282	2394	166	0	1925	1729	0	1736	1928	2368	415	20	1917	0	1602	2144	2877	0	2312	1902	543	2192	2276	1	0	0	4589	3015	2073	0	2410	2139	2545	2976	2596	3017	2692	2881	0	5	0	0	0	0	19	0	0	8	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	2	0	17	0	0	0	0	0
