sequence_id	M301570.lib1	M301571.lib1	M301572.lib1	M301573.lib1	M301574.lib1	M301575.lib1	M301576.lib1	M301577.lib1	M301578.lib1	M301579.lib1	M301580.lib1	M301581.lib1	M301582.lib1	M301583.lib1	M301584.lib1	M301585.lib1	M301586.lib1	M301587.lib1	M301588.lib1	M301589.lib1	M301590.lib1	M301591.lib1	M301592.lib1	M301593.lib1	M301594.lib1	M301595.lib1	M301596.lib1	M301597.lib1	M301598.lib1	M301599.lib1	M301600.lib1	M301601.lib1	M301602.lib1	M301603.lib1	M301604.lib1	M301605.lib1	M301606.lib1	M301607.lib1	M301608.lib1	M301609.lib1	M301610.lib1	M301611.lib1	M301612.lib1	M301613.lib1	M301614.lib1	M301615.lib1	M301616.lib1	M301617.lib1	M301618.lib1	M301619.lib1	M301620.lib1	M301621.lib1	M301622.lib1	M301623.lib1	M301624.lib1	M301625.lib1	M301626.lib1	M301627.lib1	M301628.lib1	M301629.lib1	M301630.lib1	M301631.lib1	M301632.lib1	M301633.lib1	M301634.lib1	M301635.lib1	M301636.lib1	M301637.lib1	M301638.lib1	M301639.lib1	M301640.lib1	M301641.lib1	M301642.lib1	M301643.lib1	M301644.lib1	M301645.lib1	M301646.lib1	M301647.lib1	M301648.lib1	M301649.lib1	M301650.lib1	M301651.lib1	M301652.lib1	M301653.lib1	M301654.lib1	M301655.lib1	M301656.lib1	M301657.lib1	M301658.lib1	M301659.lib1	M301660.lib1	M301661.lib1	M301663.lib1	M301664.lib1
GPB:bin_000170	71	78	102	167	0	0	136	78	98	125	125	0	37	85	168	0	0	98	73	138	0	67	0	91	95	132	2	12	86	56	0	1	109	91	64	2	103	1	140	118	0	0	2	2	0	0	0	0	106	0	125	90	135	4	1	159	6	71	2	126	0	103	131	0	95	0	115	0	74	103	77	149	66	101	0	115	48	125	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPB:bin_000171	22	30	2	86	41	63	133	0	203	31	9	111	0	34	24	145	0	4	1	1	0	21	120	1	2	1	6	10	36	43	7	16	16	4	9	46	42	91	19	35	36	2	0	0	0	0	0	0	6	19	30	62	50	0	0	18	93	59	0	23	125	5	15	0	10	20	3	0	97	119	7	1	17	1	0	2	14	28	2	152	1	0	0	0	0	0	0	0	0	0	0	0	0	15
GPB:bin_000172	42260	36320	44415	41998	34	73	42849	50972	42212	42852	48940	165	43714	36458	44254	11	53	41615	51689	47328	185	36185	51	39129	63688	47757	183	44939	52748	31778	8	39	54138	43658	49558	137	49176	69	64800	58398	69	27	150	137	303	16	64	21	58630	213	51506	51526	60574	242	13694	45674	3879	47017	110	56941	108	41670	43435	4226	53167	295	75597	172	42824	51204	45328	55770	46118	45978	63	49951	55380	51953	40846	41	38	30	10	4	1	8	9	22	7	20	4	13	2	8
GPB:bin_000173	1662	1436	1926	1880	8	38	1825	2181	1912	2115	1880	27	1939	1488	1798	5	0	1807	2040	2132	2	1420	7	1765	2738	1739	7	1267	2132	1538	0	11	2330	1959	2105	6	2102	10	2754	2432	6	2	4	2	16	0	3	0	2250	3	2050	2347	2293	10	911	1856	91	2276	2	2486	5	1884	1740	141	2539	5	3546	2	1949	2122	1753	2527	2189	2007	2	2039	2076	2235	1882	26	4	6	0	0	0	0	0	0	0	2	0	0	0	2
GPB:bin_000174	27066	24388	29810	26636	26	52	28059	29224	30624	30611	28667	92	31010	20830	30026	7	25	27580	31206	32974	193	25988	21	27431	33128	30477	104	54410	37186	25733	18	17	35664	30019	32825	69	30169	17	41473	37429	58	25	77	99	209	8	57	22	35339	185	34589	31826	34970	141	12404	31336	2071	27567	115	35416	79	27122	28650	2535	35736	198	55381	116	34380	35090	30333	35860	32234	40545	54	34101	33845	35568	27013	41	84	30	4	0	0	0	6	2	4	18	15	5	8	3
GPB:bin_000175	2426	185	189	5672	58	161	3503	174	534	276	586	143	261	189	3229	235	6	2530	476	228	15	311	131	223	247	178	4	174	8549	271	56	27	3036	234	282	84	256	110	3192	4768	80	11	8	2	4	2	5	1	1269	15	217	340	429	22	542	2748	108	322	0	307	183	231	1203	31	3209	59	325	6	5506	474	259	303	250	166	0	4195	254	321	647	93	1	5	0	0	0	0	0	2	0	2	4	0	0	8
GPB:bin_000176	13810	11288	15626	13422	8	29	14440	13846	14234	15531	15790	37	15261	12411	14804	5	12	14964	16972	15537	54	14104	4	14621	18461	16871	44	22665	15046	12102	10	9	16828	16882	17478	58	14942	23	20081	18456	32	17	51	52	94	4	19	6	18058	39	15946	15490	18436	87	6413	16662	1189	15345	47	17998	30	14651	13756	1439	18483	67	26077	40	15803	16449	13988	18454	16184	15755	10	17012	17298	17421	14310	20	33	21	0	3	2	0	0	1	3	10	0	2	0	2
GPB:bin_000177	459286	393617	515343	482275	552	848	545447	523934	475511	525127	523699	1378	519141	386332	460948	111	424	460035	526847	542301	2205	465849	291	462009	766282	573678	1917	559960	549541	372863	86	208	590150	492929	603908	1288	534957	866	718483	589564	1033	380	1314	1452	3639	165	1006	301	599415	2252	521093	564489	665361	2824	166348	508685	41009	571529	1616	603117	1271	482700	519462	37225	636325	2788	913339	1797	533053	608601	411777	626365	589281	532695	1130	582837	654528	539552	480459	517	889	514	85	65	55	63	56	150	96	250	111	151	82	45
GPB:bin_000178	2078	1602	1960	2146	4	2	1812	2105	2814	2454	2006	5	2254	1789	2073	0	2	1929	2423	2753	21	1902	46	2231	2330	2405	30	1689	2344	1854	0	0	3447	1987	2123	3	2031	3	2898	2638	2	0	14	10	11	2	7	0	2649	20	2293	2086	2440	15	780	2117	45	1914	67	2685	7	2044	2012	165	2736	68	3318	12	2316	2333	2215	2552	4372	2073	2	2449	2240	2770	1924	12	11	2	0	0	0	0	4	2	0	0	0	0	0	1
GPB:bin_000179	3762	3103	3970	3759	8	4	3930	4142	4082	4076	4241	10	4214	3812	4352	0	0	3666	4532	4630	12	3845	2	3954	5369	4840	11	2837	4550	2946	0	3	4931	4526	4846	5	4168	0	5283	4880	10	10	27	6	16	0	6	0	4794	9	4386	4427	4927	32	1458	4085	434	4142	3	4961	6	3753	4118	439	5201	20	7355	17	4160	4290	3672	5417	4416	4179	4	4541	4769	4326	3995	8	3	0	0	0	0	0	0	0	1	3	0	0	0	0
