Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
Sscrofa11.1 | M300800.lib1	236504	0	0	0	0	0	0	0	20	0	0.01	nan	236504	0	118252	0	118252	0	14	0	0.01	nan	14	0	6	0	0.0	nan	0	0	0	0	236504
Sscrofa11.1 | M300801.lib1	16500332	0	0	0	0	0	0	0	434	0	0.0	nan	16500332	0	8250166	0	8250166	0	12	0	0.0	nan	12	0	422	0	0.0	nan	0	0	0	0	16500332
Sscrofa11.1 | M300803.lib1	15022382	0	0	0	0	0	0	0	192	0	0.0	nan	15022382	0	7511191	0	7511191	0	6	0	0.0	nan	6	0	186	0	0.0	nan	0	0	0	0	15022382
Sscrofa11.1 | M300804.lib1	2564070	0	0	0	0	0	0	0	46	0	0.0	nan	2564070	0	1282035	0	1282035	0	0	0	0.0	nan	0	0	46	0	0.0	nan	0	0	0	0	2564070
Sscrofa11.1 | M300805.lib1	405104	0	0	0	0	0	0	0	78	0	0.02	nan	405104	0	202552	0	202552	0	66	0	0.02	nan	66	0	12	0	0.0	nan	0	0	0	0	405104
Sscrofa11.1 | M300806.lib1	14729528	0	0	0	0	0	0	0	231	0	0.0	nan	14729528	0	7364764	0	7364764	0	4	0	0.0	nan	4	0	227	0	0.0	nan	0	0	0	0	14729528
Sscrofa11.1 | M300807.lib1	12849140	0	0	0	0	0	0	0	337	0	0.0	nan	12849140	0	6424570	0	6424570	0	140	0	0.0	nan	140	0	197	0	0.0	nan	0	0	0	0	12849140
Sscrofa11.1 | M300808.lib1	8359798	0	0	0	0	0	0	0	185	0	0.0	nan	8359798	0	4179899	0	4179899	0	10	0	0.0	nan	10	0	175	0	0.0	nan	0	0	0	0	8359798
Sscrofa11.1 | M300809.lib1	20883550	0	0	0	0	0	0	0	309	0	0.0	nan	20883550	0	10441775	0	10441775	0	8	0	0.0	nan	10	0	299	0	0.0	nan	0	0	0	0	20883550
Sscrofa11.1 | M300810.lib1	12450568	0	0	0	0	0	0	0	242	0	0.0	nan	12450568	0	6225284	0	6225284	0	16	0	0.0	nan	16	0	226	0	0.0	nan	0	0	0	0	12450568
