Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301056.lib1	345892.0	0.0	345892.0	1.0	172946.0	172946.0	234402.0	232086.0	111490.0	220294.0	345892.0	0.0	4737.0	0.0	0.0	0.0	50361739.0	25180575.0	25181164.0	34634363.0	34634363.0	0.0	0.0	268662.0	0.007757093	146.0	146.0	146.0	150.0	150.0	150.0	39.0	248.9	91.0	107840.0	6078.0	89.0	2036.0	63.7	67.76739560325188	67.097822441687	32.232604396748116	63.688665826327295	100.0	0.0	1.3695026193146993	0.0
REF0009-mgg-pbdrep | M301057.lib1	13698984.0	0.0	13698984.0	1.0	6849492.0	6849492.0	12792066.0	12684900.0	906918.0	11713694.0	13698984.0	0.0	219056.0	0.0	0.0	0.0	2024714925.0	1012353580.0	1012361345.0	1890766515.0	1890766515.0	0.0	0.0	12896061.0	0.006820547	148.0	148.0	148.0	150.0	150.0	150.0	39.0	252.6	96.0	5854246.0	318336.0	5031.0	164837.0	85.5	93.37966961637447	92.59737802453087	6.6203303836255305	85.50775736361177	100.0	0.0	1.5990674928885236	0.0
REF0009-mgg-pbdrep | M301058.lib1	16521290.0	0.0	16521290.0	1.0	8260645.0	8260645.0	15283325.0	15167834.0	1237965.0	14006008.0	16521290.0	0.0	233565.0	0.0	0.0	0.0	2458039739.0	1229017955.0	1229021784.0	2273962753.0	2273962753.0	0.0	0.0	14308494.0	0.006292317	149.0	149.0	149.0	150.0	150.0	150.0	39.0	266.5	94.3	7145869.0	237789.0	4443.0	195816.0	84.8	92.50685025200816	91.80780677537892	7.4931497479918345	84.77551087112447	100.0	0.0	1.4137213256349836	0.0
REF0009-mgg-pbdrep | M301059.lib1	12394516.0	0.0	12394516.0	1.0	6197258.0	6197258.0	11511557.0	11417482.0	882959.0	10536824.0	12394516.0	0.0	184543.0	0.0	0.0	0.0	1842755425.0	921377770.0	921377655.0	1711611230.0	1711611230.0	0.0	0.0	11336756.0	0.006623441	149.0	149.0	149.0	150.0	150.0	150.0	39.0	269.8	96.0	5365821.0	190970.0	3919.0	148031.0	85.0	92.87621235068801	92.11720731975335	7.1237876493120025	85.01198433242573	100.0	0.0	1.4889084817833953	0.0
REF0009-mgg-pbdrep | M301060.lib1	12363850.0	0.0	12363850.0	1.0	6181925.0	6181925.0	11455036.0	11372120.0	908814.0	10463458.0	12363850.0	0.0	173618.0	0.0	0.0	0.0	1833007150.0	916494943.0	916512207.0	1698520543.0	1698520543.0	0.0	0.0	10496332.0	0.006179691	148.0	148.0	148.0	150.0	150.0	150.0	39.0	258.1	97.0	5284619.0	245801.0	3753.0	151887.0	84.6	92.64942554301452	91.97879301350308	7.350574456985486	84.62944794703915	100.0	0.0	1.404238970870724	0.0
REF0009-mgg-pbdrep | M301061.lib1	4466.0	0.0	4466.0	1.0	2233.0	2233.0	87.0	82.0	4379.0	66.0	4466.0	0.0	8.0	0.0	0.0	0.0	589968.0	294877.0	295091.0	12752.0	12752.0	0.0	0.0	238.0	0.01866374	132.0	132.0	132.0	150.0	150.0	150.0	38.8	233.7	96.5	30.0	7.0	0.0	4.0	1.5	1.948051948051948	1.8360949395432153	98.05194805194806	1.477832512315271	100.0	0.0	0.17913121361397222	0.0
REF0009-mgg-pbdrep | M301062.lib1	697198.0	0.0	697198.0	1.0	348599.0	348599.0	178039.0	175270.0	519159.0	168152.0	697198.0	0.0	4089.0	0.0	0.0	0.0	101709139.0	50853319.0	50855820.0	26277146.0	26277146.0	0.0	0.0	220406.0	0.008387745	146.0	146.0	146.0	150.0	150.0	150.0	38.8	249.0	91.0	81144.0	4922.0	303.0	1266.0	24.1	25.536361263227946	25.13920005507761	74.46363873677205	24.11825621989736	100.0	0.0	0.5864904948092221	0.0
REF0009-mgg-pbdrep | M301063.lib1	18425746.0	0.0	18425746.0	1.0	9212873.0	9212873.0	16949409.0	16841786.0	1476337.0	16207874.0	18425746.0	0.0	258905.0	0.0	0.0	0.0	2725834297.0	1362905005.0	1362929292.0	2507740189.0	2507740189.0	0.0	0.0	15311469.0	0.006105684	148.0	148.0	148.0	150.0	150.0	150.0	39.1	243.7	86.4	7868622.0	437562.0	3610.0	111099.0	88.0	91.98764055468908	91.40355022803419	8.012359445310926	87.9631902013628	100.0	0.0	1.405126283625097	0.0
REF0009-mgg-pbdrep | M301064.lib1	6256612.0	0.0	6256612.0	1.0	3128306.0	3128306.0	5788671.0	5746302.0	467941.0	5343180.0	6256612.0	0.0	92382.0	0.0	0.0	0.0	924613213.0	462306697.0	462306516.0	855526512.0	855526512.0	0.0	0.0	5400005.0	0.006311908	148.0	148.0	148.0	150.0	150.0	150.0	39.1	244.6	94.6	2643392.0	159959.0	1750.0	68050.0	85.4	92.52085633566537	91.84366874596027	7.479143664334627	85.40053306805663	100.0	0.0	1.476549928299853	0.0
REF0009-mgg-pbdrep | M301065.lib1	15048926.0	0.0	15048926.0	1.0	7524463.0	7524463.0	13899964.0	13804154.0	1148962.0	12666584.0	15048926.0	0.0	207170.0	0.0	0.0	0.0	2226604379.0	1113298281.0	1113306098.0	2056642772.0	2056642772.0	0.0	0.0	12710522.0	0.006180228	148.0	148.0	148.0	150.0	150.0	150.0	39.0	252.1	97.6	6362838.0	343530.0	3708.0	192001.0	84.2	92.36515615798761	91.72849942912869	7.63484384201238	84.16935534137122	100.0	0.0	1.3766430906763711	0.0
REF0009-mgg-pbdrep | M301066.lib1	8200076.0	0.0	8200076.0	1.0	4100038.0	4100038.0	7586168.0	7533290.0	613908.0	7078354.0	8200076.0	0.0	113069.0	0.0	0.0	0.0	1218876263.0	609437667.0	609438596.0	1127659780.0	1127659780.0	0.0	0.0	6897711.0	0.006116837	149.0	149.0	149.0	150.0	150.0	150.0	39.1	256.7	91.5	3546813.0	141449.0	1930.0	76453.0	86.3	92.51338646129621	91.86853877939669	7.4866135387037875	86.3205901994079	100.0	0.0	1.3788774640625283	0.0
REF0009-mgg-pbdrep | M301067.lib1	188738.0	0.0	188738.0	1.0	94369.0	94369.0	5931.0	5682.0	182807.0	5524.0	188738.0	0.0	262.0	0.0	0.0	0.0	27125206.0	13561889.0	13563317.0	869655.0	869655.0	0.0	0.0	6978.0	0.008023871	144.0	144.0	144.0	150.0	150.0	150.0	39.0	218.8	72.5	2512.0	261.0	36.0	32.0	2.9	3.1424514406213904	3.0105225232862485	96.85754855937861	2.9268085918045124	100.0	0.0	0.13881677245705687	0.0
REF0009-mgg-pbdrep | M301068.lib1	13891366.0	0.0	13891366.0	1.0	6945683.0	6945683.0	12837819.0	12746512.0	1053547.0	11776614.0	13891366.0	0.0	197797.0	0.0	0.0	0.0	2054659533.0	1027327447.0	1027332086.0	1898914638.0	1898914638.0	0.0	0.0	12058967.0	0.006350452	148.0	148.0	148.0	150.0	150.0	150.0	39.0	247.8	95.6	5879145.0	330307.0	3683.0	160121.0	84.8	92.41581425469604	91.75852108424758	7.584185745303953	84.77650074153973	100.0	0.0	1.4238844473610444	0.0
