Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
M301169.lib1_1	M301169.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8972646.0	1.3 Gbp	0.0	150.0	50.0	33.70222884386301	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	warn
M301169.lib1_2	M301169.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8972646.0	1.3 Gbp	0.0	150.0	51.0	32.207166876885815	150.0	150	pass	pass	warn	pass	pass	warn	pass	pass	fail	fail	warn
M301170.lib1_1	M301170.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	239943.0	35.9 Mbp	0.0	150.0	54.0	12.97224757546584	150.0	150	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
M301170.lib1_2	M301170.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	239943.0	35.9 Mbp	0.0	150.0	54.0	12.987251138812134	150.0	150	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
M301171.lib1_1	M301171.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3490958.0	523.6 Mbp	0.0	150.0	56.0	27.285370417148556	150.0	150	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	fail
M301171.lib1_2	M301171.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3490958.0	523.6 Mbp	0.0	150.0	55.0	26.593727928877342	150.0	150	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
M301172.lib1_1	M301172.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9983102.0	1.4 Gbp	0.0	150.0	51.0	34.19158455135338	150.0	150	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	warn
M301172.lib1_2	M301172.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9983102.0	1.4 Gbp	0.0	150.0	51.0	32.92680918990552	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	warn
M301173.lib1_1	M301173.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10510322.0	1.5 Gbp	0.0	150.0	51.0	24.13419803725382	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	warn
M301173.lib1_2	M301173.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10510322.0	1.5 Gbp	0.0	150.0	52.0	22.74135579722817	150.0	150	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	warn
M301174.lib1_1	M301174.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	977734.0	146.6 Mbp	0.0	150.0	72.0	7.1879468239828	150.0	150	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
M301174.lib1_2	M301174.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	977734.0	146.6 Mbp	0.0	150.0	67.0	9.089588783861458	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
M301175.lib1_1	M301175.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	861977.0	129.2 Mbp	0.0	150.0	55.0	13.615603325511415	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
M301175.lib1_2	M301175.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	861977.0	129.2 Mbp	0.0	150.0	54.0	13.628188405471086	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
M301176.lib1_1	M301176.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1596301.0	239.4 Mbp	0.0	150.0	81.0	1.0402799973188013	150.0	150	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	fail
M301176.lib1_2	M301176.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1596301.0	239.4 Mbp	0.0	150.0	73.0	5.154854880125991	150.0	150	pass	warn	fail	pass	fail	fail	pass	pass	fail	fail	fail
M301177.lib1_1	M301177.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11059848.0	1.6 Gbp	0.0	150.0	51.0	33.999183132572135	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	warn
M301177.lib1_2	M301177.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11059848.0	1.6 Gbp	0.0	150.0	52.0	32.90128412641327	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	warn
M301178.lib1_1	M301178.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8482124.0	1.2 Gbp	0.0	150.0	51.0	25.181493843950754	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	warn
M301178.lib1_2	M301178.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8482124.0	1.2 Gbp	0.0	150.0	51.0	24.146058015918797	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	warn
M301179.lib1_1	M301179.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11318965.0	1.6 Gbp	0.0	150.0	50.0	63.87869110579554	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	fail	pass
M301179.lib1_2	M301179.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11318965.0	1.6 Gbp	0.0	150.0	50.0	62.672959397726416	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
M301180.lib1_1	M301180.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	404799.0	60.7 Mbp	0.0	150.0	72.0	8.23989189696615	150.0	150	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
M301180.lib1_2	M301180.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	404799.0	60.7 Mbp	0.0	150.0	66.0	11.191727252290642	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
M301181.lib1_1	M301181.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13730597.0	2 Gbp	0.0	150.0	50.0	46.640850048362836	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	warn
M301181.lib1_2	M301181.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13730597.0	2 Gbp	0.0	150.0	50.0	45.060954323141274	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	warn
M301182.lib1_1	M301182.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11864460.0	1.7 Gbp	0.0	150.0	52.0	36.78669628996152	150.0	150	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	fail
M301182.lib1_2	M301182.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11864460.0	1.7 Gbp	0.0	150.0	52.0	35.91579288151776	150.0	150	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
M301183.lib1_1	M301183.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1068951.0	160.3 Mbp	0.0	150.0	75.0	5.082927093945373	150.0	150	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
M301183.lib1_2	M301183.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1068951.0	160.3 Mbp	0.0	150.0	69.0	7.419142692228176	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
M301184.lib1_1	M301184.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13414174.0	2 Gbp	0.0	150.0	50.0	42.6757080849082	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
M301184.lib1_2	M301184.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13414174.0	2 Gbp	0.0	150.0	50.0	40.906796636399676	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
M301185.lib1_1	M301185.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9253910.0	1.3 Gbp	0.0	150.0	50.0	24.163535554760678	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	warn
M301185.lib1_2	M301185.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9253910.0	1.3 Gbp	0.0	150.0	52.0	22.577400827470488	150.0	150	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	warn
